date,sales
2023-01-01,100
2023-01-02,120
2023-01-03,130
2023-01-04,110
2023-01-05,140
2023-01-06,150
2023-01-07,160
2023-01-08,170
2023-01-09,180
2023-01-10,190
2023-01-11,200
2023-01-12,210
2023-01-13,220
2023-01-14,230
2023-01-15,240
2023-01-16,250
2023-01-17,260
2023-01-18,270
2023-01-19,280
2023-01-20,290
2023-01-21,300
2023-01-22,310
2023-01-23,320
2023-01-24,330
2023-01-25,340
2023-01-26,350
2023-01-27,360
2023-01-28,370
2023-01-29,380
2023-01-30,390
2023-01-31,400
2023-02-01,410
2023-02-02,420
2023-02-03,430
2023-02-04,440
2023-02-05,450
2023-02-06,460
2023-02-07,470
2023-02-08,480
2023-02-09,490
2023-02-10,500
2023-02-11,510
2023-02-12,520
2023-02-13,530
2023-02-14,540
2023-02-15,550
2023-02-16,560
2023-02-17,570
2023-02-18,580
2023-02-19,590
2023-02-20,600
2023-02-21,610
2023-02-22,620
2023-02-23,630
2023-02-24,640
2023-02-25,650
2023-02-26,660
2023-02-27,670
2023-02-28,680
2023-03-01,690
2023-03-02,700
2023-03-03,710
2023-03-04,720
2023-03-05,730
2023-03-06,740
2023-03-07,750
2023-03-08,760
2023-03-09,770
2023-03-10,780
2023-03-11,790
2023-03-12,800
2023-03-13,810
2023-03-14,820
2023-03-15,830
2023-03-16,840
2023-03-17,850
2023-03-18,860
2023-03-19,870
2023-03-20,880
2023-03-21,890
2023-03-22,900
2023-03-23,910
2023-03-24,920
2023-03-25,930
2023-03-26,940
2023-03-27,950
2023-03-28,960
2023-03-29,970
2023-03-30,980
2023-03-31,990
2023-04-01,1000
